X1	Offset Displacement	X2	Displacement #2	X3	Displacement #3
0.28334	58.924	0.18644	58.924	0.31995	58.924
0.28822	58.780	0.18644	58.780	0.31995	58.780
0.28334	58.492	0.18704	58.492	0.32097	58.492
0.27845	58.203	0.18644	58.203	0.31995	58.203
0.28334	60.076	0.18762	60.076	0.32197	60.076
0.27845	60.076	0.18762	60.076	0.32197	60.076
0.27845	59.788	0.18820	59.788	0.32297	59.788
0.28334	59.644	0.18820	59.644	0.32297	59.644
0.27845	61.517	0.18880	61.517	0.32400	61.517
0.28334	61.517	0.18880	61.517	0.32400	61.517
0.28334	61.085	0.18820	61.085	0.32297	61.085
0.28822	61.085	0.18880	61.085	0.32400	61.085
0.28334	62.958	0.18938	62.958	0.32500	62.958
0.29311	62.814	0.18998	62.814	0.32602	62.814
0.31265	62.670	0.18938	62.670	0.32500	62.670
0.29799	64.254	0.19056	64.254	0.32702	64.254
0.29799	64.542	0.19056	64.542	0.32702	64.542
0.31265	64.254	0.19056	64.254	0.32702	64.254
0.32731	64.110	0.19056	64.110	0.32702	64.110
0.32242	65.983	0.19174	65.983	0.32904	65.983
0.32731	65.695	0.19114	65.695	0.32802	65.695
0.34685	65.695	0.19114	65.695	0.32802	65.695
0.36150	65.551	0.19174	65.551	0.32904	65.551
0.37127	67.424	0.19350	67.424	0.33207	67.424
0.37127	67.280	0.19350	67.280	0.33207	67.280
0.37127	66.992	0.19350	66.992	0.33207	66.992
0.37616	66.847	0.19468	66.847	0.33409	66.847
0.38593	68.864	0.19526	68.864	0.33509	68.864
0.38104	68.576	0.19586	68.576	0.33611	68.576
0.38104	68.432	0.19526	68.432	0.33509	68.432
0.38104	68.288	0.19586	68.288	0.33611	68.288
0.38104	70.161	0.19703	70.161	0.33811	70.161
0.37616	70.161	0.19703	70.161	0.33811	70.161
0.38104	69.873	0.19762	69.873	0.33914	69.873
0.38104	69.729	0.19762	69.729	0.33914	69.729
0.36639	71.458	0.19880	71.458	0.34116	71.458
0.36639	71.314	0.19880	71.314	0.34116	71.314
0.36639	71.170	0.19880	71.170	0.34116	71.170
0.33708	71.170	0.19938	71.170	0.34216	71.170
0.35173	73.042	0.19997	73.042	0.34316	73.042
0.34685	72.754	0.19938	72.754	0.34216	72.754
0.33219	72.610	0.19997	72.610	0.34316	72.610
0.32242	74.339	0.20114	74.339	0.34518	74.339
0.31754	74.339	0.20056	74.339	0.34418	74.339
0.31754	74.051	0.20056	74.051	0.34418	74.051
0.31754	73.907	0.20114	73.907	0.34518	73.907
0.31754	75.924	0.20291	75.924	0.34821	75.924
0.32242	75.492	0.20291	75.492	0.34821	75.492
0.32242	75.492	0.20409	75.492	0.35023	75.492
0.31265	75.203	0.20409	75.203	0.35023	75.203
0.31265	77.076	0.20585	77.076	0.35326	77.076
0.31265	76.932	0.20585	76.932	0.35326	76.932
0.31265	76.788	0.20644	76.788	0.35428	76.788
0.32731	76.500	0.20703	76.500	0.35528	76.500
0.32731	78.373	0.20879	78.373	0.35830	78.373
0.33219	78.229	0.20821	78.229	0.35730	78.229
0.33219	78.085	0.20938	78.085	0.35932	78.085
0.33219	77.941	0.20997	77.941	0.36033	77.941
0.34196	79.670	0.21115	79.670	0.36235	79.670
0.34196	79.381	0.21115	79.381	0.36235	79.381
0.35173	79.237	0.21115	79.237	0.36235	79.237
0.37127	79.093	0.21115	79.093	0.36235	79.093
0.38593	80.966	0.21291	80.966	0.36537	80.966
0.39570	80.678	0.21409	80.678	0.36740	80.678
0.39570	80.534	0.21409	80.534	0.36740	80.534
0.40547	82.263	0.21643	82.263	0.37142	82.263
0.41035	82.263	0.21703	82.263	0.37244	82.263
0.41524	81.975	0.21821	81.975	0.37447	81.975
0.42012	81.831	0.21879	81.831	0.37547	81.831
0.42012	83.703	0.22173	83.703	0.38051	83.703
0.43478	83.559	0.22232	83.559	0.38152	83.559
0.42501	83.271	0.22232	83.271	0.38152	83.271
0.42012	83.271	0.22291	83.271	0.38254	83.271
0.42012	85.144	0.22526	85.144	0.38656	85.144
0.42012	84.712	0.22467	84.712	0.38556	84.712
0.41524	84.712	0.22467	84.712	0.38556	84.712
0.40547	84.280	0.22467	84.280	0.38556	84.280
0.40547	86.297	0.22644	86.297	0.38859	86.297
0.40058	86.009	0.22644	86.009	0.38859	86.009
0.40547	85.864	0.22761	85.864	0.39061	85.864
0.39081	85.720	0.22761	85.720	0.39061	85.720
0.38104	87.449	0.22879	87.449	0.39263	87.449
0.37127	87.305	0.22879	87.305	0.39263	87.305
0.36150	87.017	0.22879	87.017	0.39263	87.017
0.36150	86.873	0.22938	86.873	0.39363	86.873
0.36150	88.746	0.23056	88.746	0.39566	88.746
0.35662	88.602	0.22996	88.602	0.39463	88.602
0.34685	88.458	0.22996	88.458	0.39463	88.458
0.35662	88.314	0.22938	88.314	0.39363	88.314
0.37616	89.898	0.23056	89.898	0.39566	89.898
0.37127	89.754	0.22938	89.754	0.39363	89.754
0.37127	89.610	0.22820	89.610	0.39161	89.610
0.40058	91.483	0.23056	91.483	0.39566	91.483
0.42012	91.195	0.22938	91.195	0.39363	91.195
0.42501	91.051	0.22879	91.051	0.39263	91.051
0.43967	90.763	0.22938	90.763	0.39363	90.763
0.43967	92.780	0.23056	92.780	0.39566	92.780
0.42989	92.348	0.23056	92.348	0.39566	92.348
0.43967	92.203	0.22996	92.203	0.39463	92.203
0.43967	92.059	0.23056	92.059	0.39566	92.059
0.43967	93.932	0.23173	93.932	0.39768	93.932
0.42989	93.788	0.23173	93.788	0.39768	93.788
0.41524	93.356	0.23173	93.356	0.39768	93.356
0.40058	93.356	0.23173	93.356	0.39768	93.356
0.40058	95.085	0.23350	95.085	0.40070	95.085
0.40058	94.941	0.23290	94.941	0.39968	94.941
0.40547	94.797	0.23290	94.797	0.39968	94.797
0.39570	94.509	0.23290	94.509	0.39968	94.509
0.38593	96.237	0.23468	96.237	0.40273	96.237
0.39081	96.093	0.23468	96.093	0.40273	96.093
0.38593	95.805	0.23468	95.805	0.40273	95.805
0.37616	95.517	0.23526	95.517	0.40373	95.517
0.37127	97.246	0.23702	97.246	0.40675	97.246
0.37127	96.958	0.23762	96.958	0.40777	96.958
0.35662	96.814	0.23762	96.814	0.40777	96.814
0.36150	98.542	0.23996	98.542	0.41180	98.542
0.36150	98.542	0.23996	98.542	0.41180	98.542
0.36150	98.398	0.23996	98.398	0.41180	98.398
0.37616	98.110	0.23996	98.110	0.41180	98.110
0.37127	99.983	0.24172	99.983	0.41482	99.983
0.37127	99.695	0.24172	99.695	0.41482	99.695
0.38104	99.407	0.24114	99.407	0.41382	99.407
0.39570	99.407	0.24056	99.407	0.41282	99.407
0.40058	101.14	0.24232	101.14	0.41584	101.14
0.40058	100.85	0.24232	100.85	0.41584	100.85
0.40058	100.70	0.24172	100.70	0.41482	100.70
0.40058	100.27	0.24114	100.27	0.41382	100.27
0.40547	102.29	0.24172	102.29	0.41482	102.29
0.40547	101.86	0.24232	101.86	0.41584	101.86
0.40058	101.71	0.24232	101.71	0.41584	101.71
0.41035	101.42	0.24172	101.42	0.41482	101.42
0.42501	103.44	0.24290	103.44	0.41685	103.44
0.43478	103.01	0.24350	103.01	0.41787	103.01
0.45432	102.72	0.24408	102.72	0.41887	102.72
0.45432	102.58	0.24408	102.58	0.41887	102.58
0.46409	104.31	0.24584	104.31	0.42189	104.31
0.46409	104.16	0.24644	104.16	0.42291	104.16
0.46409	104.02	0.24702	104.02	0.42392	104.02
0.46898	104.59	0.24820	104.59	0.42594	104.59
0.45432	105.46	0.24996	105.46	0.42896	105.46
0.45432	105.17	0.25055	105.17	0.42996	105.17
0.43967	104.88	0.25173	104.88	0.43199	104.88
0.42989	106.61	0.25349	106.61	0.43501	106.61
0.42989	106.47	0.25349	106.47	0.43501	106.47
0.42989	106.18	0.25408	106.18	0.43603	106.18
0.42501	106.03	0.25467	106.03	0.43703	106.03
0.42501	108.05	0.25643	108.05	0.44006	108.05
0.42501	107.76	0.25585	107.76	0.43906	107.76
0.42012	107.62	0.25585	107.62	0.43906	107.62
0.42012	107.33	0.25585	107.33	0.43906	107.33
0.41035	109.20	0.25702	109.20	0.44108	109.20
0.39570	108.77	0.25761	108.77	0.44208	108.77
